,y,x1,g
0,7.0,-1.2986469418064563,1
1,16.0,0.647731586949764,1
2,21.0,0.8143540150698813,1
3,10.0,-0.2978245855089941,1
4,18.0,-0.8149133983960797,1
5,18.0,1.515117973653421,1
6,16.0,1.0928085653472204,1
7,15.0,0.07278016635147613,1
8,10.0,-1.7585827033310828,1
9,11.0,-0.30011737797538396,1
10,9.0,-0.21569234674141544,1
11,13.0,0.08558284308155167,1
12,9.0,0.01514268749617488,1
13,15.0,-0.23633899107762343,1
14,12.0,-0.8616251389434907,1
15,11.0,-1.1703886176434786,1
16,8.0,-1.7857903591523159,1
17,17.0,-0.5812480130176981,1
18,15.0,-0.6499052334726741,1
19,12.0,0.024227961074713707,1
20,15.0,1.0710808692904614,1
21,11.0,0.02138314534825027,1
22,10.0,0.2991500032314373,1
23,18.0,2.445937317600389,1
24,16.0,0.18907378905031855,1
25,17.0,1.2726157130332334,1
26,12.0,0.6559274621997743,1
27,4.0,-0.528807237346013,1
28,9.0,-0.6501578387966589,1
29,10.0,1.0372175837305189,1
30,6.0,-1.462221555244641,1
31,16.0,-0.9601691719964709,1
32,8.0,-1.3861813433598342,1
33,10.0,-0.48181160105458554,1
34,21.0,1.4682198214862425,1
35,14.0,-0.1340339351730965,1
36,11.0,0.07712452748738816,1
37,15.0,2.22365657983363,1
38,15.0,1.1322492778274742,1
39,9.0,-0.9576364264102241,1
40,20.0,1.6992008713782683,1
41,11.0,0.7615944142294209,1
42,4.0,-1.818042210564426,1
43,19.0,1.6241086854623383,1
44,4.0,-2.4883056685309093,1
45,16.0,0.28981068243127805,1
46,11.0,-0.8108089048380323,1
47,12.0,-1.259102598165451,1
48,9.0,0.10310009578001793,1
49,11.0,0.8298377088939158,1
50,12.0,-1.5984718570152652,1
51,13.0,-0.27393370349781493,1
52,16.0,0.7265710397427597,1
53,10.0,-1.1046472706026595,1
54,6.0,-1.5949780216284388,1
55,18.0,1.1366033473848198,1
56,12.0,-1.4183166955307178,1
57,23.0,1.4383495751980138,1
58,18.0,0.3036682885554259,1
